,date,algae,mean_sym,mean_apo,light,temp,corrected_depth_m
1,11/13/23,0,16.5,67.5,572.2829,13.87018,11.64336
2,11/13/23,0,39,50,579.0822,13.90056,11.33856
3,11/13/23,0,36,50.5,609.0222,13.89556,11.06424
4,11/13/23,0,42,57,510.5874,13.88382,10.48512
5,11/13/23,0,23.5,26,738.3262,13.87231,9.2964
6,11/13/23,5,31,31,905.0514,13.86714,9.32688
7,11/9/23,0,0,56,48.66158,14.80053,13.99032
8,11/9/23,0,0,51,21.54739,14.85652,14.90472
9,11/9/23,0,0,106.5,24.31158,14.88895,14.59992
10,11/9/23,0,15.5,17.5,86.43297,14.90351,11.55192
11,11/9/23,0,25.5,22.5,80.75412,14.90647,11.21664
12,11/9/23,0,23,48,31.8075,14.89841,11.82624
13,11/9/23,0,11,48.5,30.93593,14.90074,12.13104
14,11/9/23,0,46,27.5,78.345,14.81278,10.60704
15,11/9/23,0,39.5,42.5,95.0175,14.81875,9.96696
16,11/9/23,0,50.5,31.5,109.3486,14.80643,9.96696
17,11/9/23,0,40.5,29,62.435,14.69905,9.35736
18,11/9/23,5,41,21,49.46824,14.67549,10.54608
19,11/9/23,0,36,21,64.73556,14.67,9.32688
20,11/5/23,90,0,0,13126.95,15.24889,0.36576
21,11/5/23,80,5.5,0,8062.664,15.08652,0.39624
22,11/5/23,90,1,0,7639.654,15.0416,0.70104
23,11/5/23,95,12.5,10,5416.559,15.2842,0.70104
24,11/5/23,95,0,0,9142.282,15.58348,0.12192
25,11/3/23,0,0,3,4.706667,15.25833,21.76272
26,11/3/23,0,0,3.5,10.09308,15.40308,21.15312
27,11/3/23,0,0,33,9.262,15.45867,21.15312
28,11/3/23,0,0,3,9.058462,15.45846,20.23872
29,11/3/23,0,0,4.5,11.473,15.495,19.93392
30,11/3/23,0,0,5.5,12.04643,15.515,18.40992
31,11/3/23,0,0,14,17.68222,15.50778,18.71472
32,11/3/23,0,0,60.5,13.36357,15.51929,19.32432
33,11/2/23,5,19,0.5,305.3891,15.01,6.61416
34,11/2/23,30,15,1.5,784.4522,15.12043,7.19328
35,11/2/23,40,5.5,1.5,885.9294,15.17,6.88848
36,11/2/23,75,7,1.5,1617.99,15.17049,6.2484
37,11/2/23,70,3,13.5,1236.8,15.17241,5.9436
38,11/2/23,90,0,0,608.97,15.1575,2.86512
39,11/2/23,85,0,1,1015.579,15.13158,2.25552
40,11/2/23,95,0,0,1114.464,15.1144,2.25552
41,11/2/23,100,0,4,635.3257,15.07,1.03632
42,11/2/23,100,4,8,504.3792,15.02,0.70104
43,11/2/23,90,0,0,473.5,14.90375,2.83464
44,11/2/23,80,2,0,1125.461,14.892,1.61544
45,11/2/23,70,4,1,794.24,14.83368,0.97536
46,11/2/23,100,0,0,10512.56,14.98708,0.36576
47,11/2/23,100,0,1,11365.57,15.02676,0.64008
48,10/23/23,0,0,36,19.79464,16.1975,17.526
49,10/23/23,0,0,26,21.5855,16.228,17.2212
50,10/23/23,0,0,32,16.90786,16.275,16.9164
51,10/23/23,0,0,95,41.492,16.292,16.6116
52,10/23/23,0,0,46,43.549,16.2895,16.3068
53,10/23/23,0,0,45.5,30.24636,16.29045,16.6116
54,10/23/23,0,0,32.5,28.02417,16.28,16.3068
55,10/23/23,0,0,0,84.91,16.296,12.6492
56,10/23/23,0,0,70,83.31185,16.29556,13.5636
57,10/23/23,0,0,81,75.75556,16.29,13.2588
58,10/23/23,0,0,32,138.9782,16.32727,13.716
59,10/23/23,0,0,51.5,181.0912,16.3212,13.716
60,10/23/23,0,0,159.5,134.276,16.29,14.3256
61,10/23/23,0,0,101.5,107.0867,16.275,13.1064
62,10/23/23,0,0,17.5,282.6438,16.23571,13.1064
63,10/23/23,0,11,31.5,347.2563,16.1963,11.85672
64,10/23/23,0,2,81.5,232.1662,16.16692,12.46632
65,10/23/23,0,0,109,83.08353,16.19941,13.07592
66,10/23/23,0,23,47.5,390.9429,16.15321,11.85672
67,10/13/23,0,0,17,5.411429,17.2081,22.89048
68,10/13/23,0,0,4.5,8.552857,17.24143,21.97608
69,10/13/23,0,0,22,3.65,17.31571,19.56816
70,10/13/23,0,0,16,5.740833,17.32,17.46504
71,10/13/23,0,0,26.5,30.727,17.338,16.88592
72,10/3/23,80,4,52.5,425.3289,17.79222,7.65048
73,10/3/23,85,3,30.5,879.7257,17.80839,6.096
74,10/3/23,90,3.5,16.5,1301.875,17.80963,6.06552
75,10/3/23,95,5.5,12,1695.545,17.82115,4.81584
76,9/29/23,90,1,5.5,19.57308,17.82615,6.61416
77,9/29/23,100,0,0,49.7825,17.85375,6.64464
78,9/29/23,5,9,57.5,61.89481,17.86259,6.94944
79,9/29/23,0,3.5,44.5,71.52,17.861,6.97992
80,9/29/23,85,0,8.5,56.98259,17.85889,6.096
81,9/29/23,100,0,10,138.0756,17.86481,5.82168
82,9/22/23,0,0,37.5,4.9576,17.5052,22.95144
83,9/22/23,5,13,6,2659.058,18.84389,6.21792
84,9/22/23,40,7,17.5,3239.237,18.82269,5.60832
85,9/22/23,75,1,10,1094.32,18.79667,8.01624
86,9/22/23,50,13.5,58.5,1093.614,18.77457,8.32104
87,9/22/23,5,68.5,37,383.159,18.74,9.54024
88,9/22/23,20,21,41.5,1097.04,18.75679,8.59536
89,9/22/23,90,0.5,31.5,604.4661,18.76957,5.54736
90,9/22/23,80,0.5,26.5,4575.634,18.89286,4.29768
91,9/22/23,75,5,38,1627.136,18.87829,4.29768
92,9/22/23,0,17,58.5,330.9356,18.82722,11.09472
93,9/22/23,0,16,7.5,653.5093,18.792,9.84504
94,9/22/23,25,19,2.5,542.29,18.755,8.32104
95,9/22/23,10,40.5,12.5,734.6286,18.72714,8.93064
96,9/7/23,0,30.5,50,303.58,19.74656,11.33856
97,9/7/23,0,56,45.5,362.0655,19.52682,10.42416
98,9/7/23,0,44.5,23,317.2218,19.49818,9.50976
99,9/7/23,60,5,4,907.5627,19.612,7.68096
100,9/7/23,45,17.5,23.5,503.1822,19.60333,8.56488
101,9/7/23,10,19,27.5,741.0347,19.576,8.56488
102,9/7/23,75,10,18.5,1237.2,19.5875,8.26008
103,9/7/23,90,4.5,43,1178.257,19.56973,7.0104
104,9/7/23,85,4.5,16.5,3137.958,19.59,4.572
105,9/7/23,100,5,28,9231.531,22.03467,3.59664
106,9/7/23,55,7,9.5,5925.831,21.56222,4.17576
107,9/7/23,40,3,6,7686.827,21.43333,4.78536
108,9/7/23,80,8.5,10.5,1518.662,21.26818,6.00456
109,9/7/23,30,4,1.5,2545.707,20.95667,6.00456
110,9/7/23,45,17.5,13,3310.933,20.89778,5.66928
111,9/7/23,85,0.5,11,2440.704,20.776,5.36448
112,9/7/23,90,1.5,5.5,9595.947,20.95667,2.92608
113,9/7/23,100,7,8,11830.27,21.302,3.2004
114,9/7/23,100,0.5,0,6584.747,21.51667,2.5908
115,9/7/23,100,0,0,11575.95,21.55857,2.5908
116,9/7/23,95,0,0.5,4195.36,21.415,1.64592
117,9/7/23,100,0,1.5,22240,21.66,1.34112
118,9/7/23,95,0,0,24325.12,21.7,1.64592
119,9/1/23,0,0,4,67.986,19.63167,22.64664
120,9/1/23,0,0,2.5,26.942,19.656,22.03704
121,9/1/23,0,0,6,44.54,19.64,20.23872
122,9/1/23,0,0,8,31.67154,19.67077,19.32432
123,9/1/23,100,2,4.5,1874.498,19.73419,3.81
124,9/1/23,0,0,64,36.36423,19.70962,14.11224
125,9/1/23,0,0,19,27.34,19.65917,15.63624
126,9/1/23,0,10,47,68.88,19.645,11.67384
127,9/1/23,0,15.5,35,140.2,19.673,11.39952
128,9/1/23,0,5,104,56.45167,19.65833,12.61872
129,9/1/23,0,10.5,54.5,67.11957,19.67348,12.31392
130,9/1/23,100,4,19.5,1070.607,19.70062,5.0292
131,9/1/23,90,3,8.5,1413.745,19.73129,4.45008
132,8/23/23,0,43.5,38.5,379.5893,20.37833,10.57656
133,8/23/23,100,13.5,31.5,2618.609,20.43231,5.12064
134,8/23/23,100,1.5,7,2479.17,20.42656,4.20624
135,8/23/23,100,3,12.5,1855.025,20.47909,4.51104
136,8/23/23,100,3,6.5,1888.091,20.47143,3.93192
137,8/23/23,100,0,1,2365.928,20.46211,3.32232
138,8/23/23,100,1,15,1522.453,20.47333,4.54152
139,8/23/23,100,2,14,1346.98,20.44958,4.54152
140,8/23/23,100,6.5,19.5,2710.407,20.45333,3.01752
